year,sex,medal_count
1896,M,760
1900,F,66
1900,M,3806
1904,F,32
1904,M,2570
1906,F,22
1906,M,3444
1908,F,94
1908,M,6108
1912,F,174
1912,M,7906
1920,F,268
1920,M,8316
1924,F,522
1924,M,10864
1928,F,874
1928,M,10274
1932,F,738
1932,M,5904
1936,F,1098
1936,M,13704
1948,F,1522
1948,M,13438
1952,F,3364
1952,M,15352
1956,F,2278
1956,M,10590
1960,F,3460
1960,M,15010
1964,F,3504
1964,M,15456
1968,F,4386
1968,M,16572
1972,F,5216
1972,M,18702
1976,F,5212
1976,M,15792
1980,F,4372
1980,M,13502
1984,F,5966
1984,M,17210
1988,F,8446
1988,M,20906
1992,F,10356
1992,M,22470
1994,F,2210
1994,M,4110
1996,F,10016
1996,M,17544
1998,F,2768
1998,M,4442
2000,F,10862
2000,M,16780
2002,F,3164
2002,M,5054
2004,F,11092
2004,M,15794
2006,F,3514
2006,M,5250
2008,F,11632
2008,M,15572
2010,F,3694
2010,M,5110
2012,F,11630
2012,M,14210
2014,F,4046
2014,M,5736
2016,F,12446
2016,M,14930
